c_name,c_id,max_people,choose_amount,teacher_id,building_id,time,C_dapartment_id,credit,type
計算機概論,703003001,75,99,14,200,二D56,703,3,必修
離散數學,703007001,70,97,8,200,二D56,703,3,必修
資料結構,703008001,60,69,7,200,四234,703,3,必修
物件導向程式設計,703009001,60,73,19,200,一D56,703,3,必修
作業系統,703016001,70,55,13,200,五234,703,3,必修
機率論,703017001,70,82,18,200,二234,703,3,必修
計算機結構與組織,703019001,70,54,11,200,三D56,703,3,必修
計算機網路,703027001,60,43,9,200,二D56,703,3,群修
計算機程式設計（一）,703049001,60,85,16,200,三234,703,3,必修
電腦圖學,703053001,50,15,6,200,五234,703,3,群修
人機互動,703055001,30,25,12,200,四234,703,3,群修
資訊安全,703060001,50,49,8,200,一D56,703,3,群修
自然語言處理,703834001,60,50,23,200,三D56,703,3,選修
資料科學,703837001,60,65,10,200,二234,703,3,選修
3D遊戲程式設計,703869001,60,35,6,200,三234,703,3,選修
機器學習概論,703901001,40,31,18,200,一D56,703,3,選修
物件導向程式設計實習,703955001,60,68,19,200,一EF,703,0,必修
計算機程式設計實習（一）,703957001,60,81,16,200,四EF,703,0,必修